District,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
BORNOVA,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",4.336096307234868,26.632921965462504,73.16495323010912
BORNOVA,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",13.965196662457187,71.0901377134343,13.572790124040113
BORNOVA,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",4.100790670144433,26.08254136923131,74.62120266027168
BORNOVA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",4.166666666666667,29.051382411394545,74.2135121196493
BORNOVA,Monthly,SARIMA,"Order=(1, 1, 0), Seas=(1, 0, 0, 12)",4.257553064333489,30.19368184688104,73.65103828158749
BORNOVA,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",6.651994210148804,40.62964400496925,58.832423660760384
BALÇOVA,Monthly,Baseline,Mean,1.3333333333333333,66.66666666666666,0.0
BALÇOVA,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.7055745973965131,94.43490177299174,47.08190519526151
BALÇOVA,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.7357854760809843,100.0,44.81608929392617
BALÇOVA,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.7168984587805172,43.85831664882745,46.232615591461204
BALÇOVA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.6666666666666666,51.421404815656544,50.0
BALÇOVA,Monthly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 12)",0.6776642481517484,63.6620769000306,49.17518138861887
BALÇOVA,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.7934634788452266,95.8919346680378,40.490239086608
NARLIDERE,Monthly,Baseline,Mean,0.5833333333333334,25.0,0.0
NARLIDERE,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.9969798940923482,12.071257796779689,-70.91083898725968
NARLIDERE,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.7346289170700273,100.0,-25.936385783433245
NARLIDERE,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.7453582654740648,15.75411605435173,-27.775702652696815
NARLIDERE,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.5777777829191705,26.66666512424889,0.9523800709993526
NARLIDERE,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.5777777829191705,26.66666512424889,0.9523800709993526
NARLIDERE,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.5833333377736315,24.99999866791055,-7.611939650027059e-07
KONAK,Monthly,Baseline,Mean,60.5,35.92688505021084,0.0
KONAK,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",28.267355161530528,17.195271970535444,53.27709890656111
KONAK,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",167.33882858395378,97.19206541202036,-176.5931050974443
KONAK,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",11.92853669805531,7.165528553817853,80.2834104164375
KONAK,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",19.200460726815123,11.78186256671464,68.26370127799153
KONAK,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(0, 1, 0, 12)",37.47585055990961,22.337959591129575,38.056445355521305
KONAK,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",18.764558556135853,11.527020311888581,68.98420073365975
BUCA,Monthly,Baseline,Mean,3.5666666666666664,275.0,0.0
BUCA,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.8201580686053708,38.07834101942103,77.0049139643354
BUCA,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",1.6417217903586077,83.44854166053372,53.970417092749315
BUCA,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.789990502163007,38.929198743308646,77.85073358421475
BUCA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.8519764365208932,63.75221739601541,76.11281019100299
BUCA,Monthly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 12)",0.8882846759110853,66.07559567942279,75.09482217071724
BUCA,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.2546593541503368,63.896717103071985,64.82263493036439
BAYRAKLI,Monthly,Baseline,Mean,11.683333333333332,26.135780525234605,0.0
BAYRAKLI,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",9.210147660609545,17.520144281553595,21.16849363244326
BAYRAKLI,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",42.075841285191,86.96173640828597,-260.13558874628535
BAYRAKLI,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",6.412491671999398,11.68531874872367,45.11419396291528
BAYRAKLI,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",5.573589373951866,10.124520692817491,52.29452746974152
BAYRAKLI,Monthly,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 12)",9.705510754107818,18.444951126840223,16.928581277251187
BAYRAKLI,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",8.17143474264216,15.239948394666122,30.059046425316733
KARABAĞLAR,Monthly,Baseline,Mean,13.008333333333331,60.73591758640777,0.0
KARABAĞLAR,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",3.0352108251061476,13.746709485099487,76.66718135728777
KARABAĞLAR,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",20.037273710016567,88.40965571611073,-54.03413486239516
KARABAĞLAR,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",3.1615995120964375,14.513583290517776,75.69558350726633
KARABAĞLAR,Monthly,ARIMA,"Order=(1, 1, 1), Seas=(0, 0, 0, 0)",3.528424192442767,17.301684799886342,72.87566283836438
KARABAĞLAR,Monthly,SARIMA,"Order=(1, 1, 0), Seas=(1, 0, 0, 12)",3.594750607667019,17.500338569118227,72.36578648814591
KARABAĞLAR,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",3.5,17.260464728229007,73.09417040358744
GAZİEMİR,Monthly,Baseline,Mean,8.383333333333331,19.57765027523385,0.0
GAZİEMİR,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",6.514638246207102,15.338665449354313,22.29059746075025
GAZİEMİR,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",37.95885880024415,77.8899801774264,-352.7895681937673
